ID,question,answer,relevance
2788,who kill franz ferdinand ww1,A plaque commemorating the location of the Sarajevo assassination ( image taken in 2009 ),0
8166,what is a medallion guarantee,Sample of a Medallion signature guarantee stampIn,0
4289,what does a vote to table a motion mean ?,"The difference is the idea of what the table is for , that of a shelf off to the side , or an active work bench .",0
8180,when was the lady gaga judas song released,"`` Judas '' is a song by American recording artist Lady Gaga , from her second studio album Born This Way ( 2011 ) .",1
725,How did Edgar Allan Poe die ?,"His work forced him to move among several cities , including Baltimore , Philadelphia , and New York City .",0
5607,what made the civil war different from others,"Hostilities began on April 12 , 1861 , when Confederate forces fired upon Fort Sumter , a key fort held by Union troops in South Carolina .",0
3375,what is corpus christi holiday,The procession is followed by Benediction of the Blessed Sacrament .,0
2375,who made hubble telescope,"Between 1993 and 2002 , four missions repaired , upgraded , and replaced systems on the telescope ; a fifth mission was canceled on safety grounds following the Columbia disaster .",0
7370,how is slugging percentage calculated,"In baseball statistics , slugging percentage ( abbreviated SLG ) is a popular measure of the power of a hitter .",0
6487,what part of the government governs the US post office ?,The USPS has not directly received taxpayer-dollars since the early 1980s with the minor exception of subsidies for costs associated with the disabled and overseas voters .,0
6339,how many innings makes an official game,"If a game is started but does not reach the point of becoming official , fans are entitled to a new ticket for the make-up game or ( in most cases ) any other available game of their choice .",0
4516,what did sparta do around 650 bc,"Spartiates underwent the rigorous agoge training and education regimen , and Spartan phalanges were widely considered to be among the best in battle .",0
573,who was charged with murder after the massacre at My lai,"While 26 U.S. soldiers were initially charged with criminal offenses for their actions at Mỹ Lai , only Second Lieutenant William Calley , a platoon leader in Charlie Company , was convicted .",1
1533,where is the Rhine river located on a map,"The Rhine and the Danube formed most of the northern inland frontier of the Roman Empire and , since those days , the Rhine has been a vital and navigable waterway carrying trade and goods deep inland .",0
4435,what county is erie colorado,"The main runway is concrete paved and 4,700 feet long .",0
4721,what does ( sic ) mean ?,"San Isidro Club , an Argentine rugby union club",0
627,WHAT COUNTRY IS MEXICO IN,"With an estimated population of over 113 million , it is the world 's eleventh most populous country and the most populous Spanish-speaking country .",0
7339,how much does united states spend on health care,"The U.S. Census Bureau reported that 49.9 million residents , 16.3 % of the population , were uninsured in 2010 ( up from 49.0 million residents , 16.1 % of the population , in 2009 ) .",0
